window,duration_h,gev_location,gev_scale,gev_shape_k,n_cells_used,median_index_flood_mm,growth_rp2,growth_rp5,growth_rp10,growth_rp20
hist,1,0.7629294722693012,0.3012775810159474,-0.17669060933352257,8697,10.573142576217652,0.8770054801316259,1.28037004279602,1.5954965178277274,1.9396800585405563
hist,3,0.7963335846316987,0.2850714966818417,-0.1228082917766308,8697,18.89284725189209,0.9032030710733983,1.2658395760487937,1.5352580521010473,1.818099560258461
hist,6,0.8143198283666151,0.2610552148939248,-0.12029386757204438,8697,24.69980549812317,0.9121405129310113,1.2434369830749077,1.4889938341971902,1.7463091058737026
hist,12,0.827228387608877,0.2474170445570627,-0.10987028456025902,8697,31.387427234649657,0.919760509922028,1.2306697771632875,1.4588805861647156,1.6961948363176367
hist,24,0.8348144328254099,0.24296707052551325,-0.09464073225251686,8697,39.38778142929077,0.9254274677177602,1.22638597132725,1.4441668790214974,1.6681151584285243
ssp370,1,0.7378664977475019,0.3165534739986097,-0.20456355175527322,8697,11.751125764846801,0.8583475476750646,1.2935803481469357,1.6425376334355986,2.031553753881378
ssp370,3,0.7772876989855202,0.2990391531118736,-0.14616468174100042,8697,20.774488306045534,0.8898782960696772,1.2787962506507728,1.574111829631137,1.8895061144870768
ssp370,6,0.8007598415391627,0.2739558638282034,-0.1328406491417021,8697,26.664701223373413,0.9036526945092104,1.2554755034439729,1.5193214044653254,1.7983617380816752
ssp370,12,0.8260973091550907,0.2500735032536738,-0.10751090377301269,8697,32.959818315505984,0.9195822296760602,1.2331298905252162,1.4627699451982292,1.701156855870261
ssp370,24,0.8406729463341064,0.24398154168974512,-0.07156181230059369,8697,39.957238388061526,0.9312783538721452,1.2269932787236202,1.4364023629970069,1.648120638203293
